date,symbol,opening_price,highest_price,lowest_price,closing_price,trading_volume,adjusting_factor
2014-01-06,AAL.L,1290.5,1300.0,1271.5,1275.0,4645028.0,1
2014-01-07,AAL.L,1280.0,1290.5,1260.0,1276.5,3282415.0,1
2014-01-08,AAL.L,1266.0,1280.785,1257.5,1262.5,4494855.0,1
2014-01-09,AAL.L,1260.5,1263.0,1221.0,1226.5,3298036.0,1
2014-01-10,AAL.L,1229.5,1267.0,1226.0,1249.5,4053441.0,1
2014-01-13,AAL.L,1256.5,1281.0,1250.0,1273.0,2710377.0,1
2014-01-14,AAL.L,1260.0,1271.5,1250.0,1262.5,3389954.0,1
2014-01-15,AAL.L,1279.0,1333.1660000000004,1274.5,1332.5,7297469.0,1
2014-01-16,AAL.L,1332.5,1400.0,1323.5,1397.5,7995817.0,1
2014-01-17,AAL.L,1398.0,1436.5,1388.0,1391.0,8872271.0,1
2014-01-20,AAL.L,1380.0,1414.0,1369.0,1393.0,4413580.0,1
2014-01-21,AAL.L,1392.0,1392.0,1344.5,1356.0,6368578.0,1
2014-01-22,AAL.L,1365.5,1388.0,1357.0,1366.5,3859687.0,1
2014-01-23,AAL.L,1348.5,1407.5,1347.0,1380.5,5883401.0,1
2014-01-24,AAL.L,1381.0,1389.5,1333.0,1340.0,7407375.0,1
2014-01-27,AAL.L,1333.5,1353.5,1317.0,1319.5,5548406.0,1
2014-01-28,AAL.L,1326.0,1364.0,1321.6,1343.5,5826922.0,1
2014-01-29,AAL.L,1400.0,1457.0,1362.5,1420.5,13203443.0,1
2014-01-30,AAL.L,1410.0,1443.0,1392.5,1435.5,11247186.0,1
2014-01-31,AAL.L,1428.0,1437.0,1403.5,1436.0,9393455.0,1
2014-02-03,AAL.L,1440.0,1453.5,1395.5,1397.0,4034338.0,1
2014-02-04,AAL.L,1390.5,1457.0,1390.5,1436.5,6805676.0,1
2014-02-05,AAL.L,1435.0,1463.5,1417.0,1452.0,6452685.0,1
2014-02-06,AAL.L,1465.0,1468.7996,1433.0,1459.5,5908919.0,1
2014-02-07,AAL.L,1464.0,1482.5,1451.0,1480.0,4946640.0,1
